nueva,bilingue,perfil,fecha,titulo,empresa,ubicacion,fuente,url,resumen
SI,SI,Servicio al cliente,2026-07-09,Customer Service Representative - Bilingual English/Spanish,National Safety Council,Remote (LATAM-friendly),Torre,https://torre.ai/post/ed8pQJEd,You'll save lives and prevent injuries by providing essential customer support in a mission-driven role. | USD 19-20/hourly
SI,SI,Asistente virtual,2026-07-09,Medical Virtual Assistant (Bilingual English/Spanish),WiseVAs - Virtual Assistants,Remote (LATAM-friendly),Torre,https://torre.ai/post/RrnA0o0d,You'll bridge communication and ensure seamless patient care in a vital bilingual support role
SI,SI,Asistente virtual,2026-07-09,Administrative Assistant (Spanish-English Bilingual),TigerUX,Remote (LATAM-friendly),Torre,https://torre.ai/post/VWMq4MnW,You will empower sales and marketing teams by optimizing customer relationships and data insights.
,SI,Asistente virtual,2026-07-07,Bilingual Virtual Assistant (Spanish/English) – Medical Scribe,Honest Taskers,Remote (LATAM-friendly),Torre,https://torre.ai/post/xWpKANOr,You'll advance medical support and streamline operations through specialized virtual assistance
,SI,Asistente virtual,2026-06-30,Spanish Bilingual Customer Service & Dispatch Virtual Assistant (Pest Control),Talent Bridging,Remote (LATAM-friendly),Torre,https://torre.ai/post/Vro7QRDr,You'll drive operational efficiency and customer satisfaction for growing field-service businesses. | USD 6-7/hourly
,SI,Servicio al cliente,2026-06-20,Bilingual Medical Customer Service Representative (English & Spanish),pavago,Remote (LATAM-friendly),Torre,https://torre.ai/post/VWYQElGW,You'll empower global patient care by providing empathetic bilingual medical support.
,SI,Servicio al cliente,2026-06-16,Customer Support Representative (Bilingual: English & Spanish),Deos,Remote (LATAM-friendly),Torre,https://torre.ai/post/Odv8a30W,"You'll transform customer experiences into loyalty, driving growth for a pioneering DTC wellness brand. | USD 5-10/hourly"
,SI,Servicio al cliente,2026-05-04,Customer Service Specialist Spanish Speaker (Remote),TalentWorldGroup,Remote (LATAM-friendly),Torre,https://torre.ai/post/arQnEv6W,"You'll redefine remote customer service, shaping global support for diverse international projects. | EUR 9-9/hourly"
,SI,Asistente virtual,2026-04-27,Spanish Bilingual Medical Virtual Assistant - Healthcare,Neolytix,Remote (LATAM-friendly),Torre,https://torre.ai/post/VWYQ8xLW,You'll empower healthcare providers to deliver quality care by optimizing critical documentation. | USD 650-650/monthly
,SI,Servicio al cliente,2026-04-14,Customer Service Representative (Bilingual Spanish-English),Talent Bridging,Remote (LATAM-friendly),Torre,https://torre.ai/post/GdjqLMaw,You'll empower individuals by connecting them to vital healthcare and community resources. | USD 7-7/hourly
,SI,Asistente virtual,2026-01-27,Medical Virtual Assistant - Spanish Bilingual,Neolytix,Remote (LATAM-friendly),Torre,https://torre.ai/post/6WaYPO8W,You will drive healthcare efficiency and impact patient care through end-to-end clinic operations. | USD 650-650/monthly
